Original,Translated,Categories
"jsem ospalý","tengo sueño","phrase;property"
"snít +","soñar - sueño, sueñas, sueña, soñamos,  soñáis, sueñan","verb"
"spát +","dormir - duermo, duermes, duerme, dormimos, dormís, duermen","verb"
"noční život Buenos Aires je rozmanitý","la vida nocturna de Buenos Aires es diversa","activity"
"není snadné vyučovat","no es fácil enseñar","edu;phrase"
"učit","enseñar - enseño, enseñas, enseña, enseñamos, enseñáis, enseñan","edu;verb"
"internetový obchod nabízí minimální cenu","la tienda en línea ofrece un precio mínimo","phrase"
"údolí","un valle","nature;places"
"hrad","un castillo","nature;places"
"kostel","una iglesia","places"
"budova","un edificio","places"
"Staré Město","el casco antiguo","places"
"století","el siglo","time"
"kvalita života","la calidad de vida","phrase"
"pojištění","el seguro","stuff"
"trezor","la segura","stuff"
"bezpečnost","la seguridad","stuff"
"několik, různí","varios, varias","grammar"
"největší","el más grande","grammar;property"
"téměř","casi","grammar"
"po, o","sobre","grammar"
"téměř dva miliony obyvatel","casi dos millones habitantes","phrase"
"jít vyzkoušet","salir a probar","activity"
"úkol domácí","la tarea","edu;home"
"domácí práce","los deberes","home"
"příští rok","próximo año","time"
"příští rok","el año que viene","time"
"tento rok","este año","time"
"malby","los cuadros","stuff"
"chodit","caminar","activity;verb"
"mnoho cvičení","muchos ejercicios","edu;grammar"
"ostrov","la isla","nature"
"hlavní město země","la capital del país","places"
"pohoří, pila","la sierra","nature;stuff"
"pohoří, hory","la cordillera","nature"
"hory","las montañas","nature;places"
"století","siglos","time"
"pole,  venkov","el campo","places"
"zasněžený","nevada","nature;property"
"pouť","peregrinaje","stuff;travel"
"mám několik nápadů","tengo varias ideas","phrase"
"být +","ser - soy, eres, es, somos, sois, son","verb"
"mít +","tener - tengo, tienes, tiene, tenemos, tenéis, tienen","verb"
"být + (poloha)","estar - estoy, estás, está, estamos, estáis, están","verb"
"žádný problém","no hay problema","phrase"
"španělština","castellano","edu"
"les","el bosque","places"
"džungle","la selva","places"
"západ","oeste","places;travel"
"východ","este","places;travel"
"sever","norte","places;travel"
"jih","sur","places;travel"
"v mé zemi je mnoho řek","en mi país hay muchos ríos","grammar"
"v mé zemi není moře","en mi país no hay mar","grammar;phrase"
"Sagrada Familia je v Barceloně","la Sagrada Familia está en Barcelona","grammar"
"v této oblasti je spousta kávy","en esta región hay mucho café","grammar"
"v tomto městě je velké znečištění","en esta ciudad hay mucha contaminación","grammar"
"ve Španělsku existuje mnoho typů sýrů","en España hay muchos tipos de queso","grammar"
"v Mexiku je mnoho krásných měst","en México hay muchas ciudades bonitas","grammar;places"
"jezero Maracaibo je velmi veliké","el lago Maracaibo es muy grande","grammar;places"
"na jihu Argentiny hodně prší","en el sur de Argentina llueve mucho","weather"
"Kde je Panama?","Dónde está Panamá?","grammar;places"
"Kolik obyvatel je ve Španělsku?","Cuántos habitantes hay en España?","grammar;phrase"
"Kolik oficiálních jazyků je v Peru?","Cuantas lenguas oficiales hay en Perú?","phrase"
"Co je to mate?","Qué es el mate?","grammar"
"Jaká velká řeka pramení v Peru?","Qué gran río nace en Perú?","phrase"
"Co je hlavním městem Venezuely?","Cuál es la capital de Venezuela?","places"
"Jaké jsou dvě největší španělsky mluvící země?","Cuáles son los dos países de habla hispana más grandes?","grammar"
"nejznámější muzeum v Madridu","el museo más famoso de Madrid","grammar;phrase"
"nejdelší řeky na světě","los ríos más largos del mundo","grammar;nature"
"nejvyšší hory na světě","las montañas más altas del mundo","grammar;nature;places"
"znát, vědět něco","saber","edu;verb"
"učit se +","aprender - aprendo,  aprendes, aprende, aprendemos, aprendéis, aprenden","edu;verb"
"číst si +","leer - leo, lees, lee, leemos, leéis, leen","edu;verb"
"kreditní karta","una tarjeta de crédito","stuff;travel"
"drahé","caro, costoso","property"
"levné","barato","property"
"celkem levné","bastante barato","property"
"cena, finanční náklad","un costo","stuff"
"stát (finance)","costar","verb"
"Kolik stojí?","Cuánto cuesta?","property"
"dobře, dobrý","bueno","property"
"pěkný","bonito","property"
"sluneční brýle","unas gafas de sol","home;travel;wears"
"bunda, sako","una chaqueta","wears"
"sandály","unas sandalias","wears"
"šortky","unos pantalones cortos","wears"
"spodní prádlo","ropa interior","wears"
"maso","la carne","food"
"id karta, dokument","un carné","home;stuff;travel"
"kufr","una maleta","home;stuff;travel"
"čočky,  brýle","unos lentes","wears"
"krém na opalování","crema solar","home;travel"
"krém na opalování","protector solar","home;travel"
"vysoušeč vlasů","un secador de pelo","home"
"suchý","seco","property"
"sušit","secar","verb"
"Hodně se těším!","¡Qué ganas!","phrase"
"Pro mě to je nezbytné.","Para mí eso es básico.","phrase"
"dost, stačí","suficiente","grammar"
"vždy zapomenu","siempre se me olvida","phrase"
"hodně důležitý","superimportante","property"
"kosmetická taštička","el neceser","home;travel"
"peněženka","una cartera","home;stuff"
"zapomenout","olvidar","verb"
"ty jsou velmi pohodlné","estos son muy cómodos","wears"
"vzít","llevar","verb"
"maska","antifaz","travel;wears"
"špunty do uší","unos tapones","travel"
"polštář","una almohada","home"
"polštářek","un cojín","home"
"pantofle","unas pantuflas","wears"
"plavky","un bañador","wears"
"bazén","la piscina","places"
"pronájem","el alquiler","home"
"Musím si vzít pas","Tengo que llevar el pasaporte","grammar;travel"
"Musím si vzít řidičský průkaz","Tengo que llevar el carnet de conducir","grammar;travel"
"zahraniční","extranjero","property;travel"
"řídit","conducir","travel;verb"
"dárek","un regalo","home;stuff"
"notebook","un ordenador portátil","home;stuff;work"
"dezert","un postre","food"
"Švédsko","Suecia","places"
"teplé oblečení","ropa de abrigo","wears"
"kabát","abrigo","wears"
"stan","una carpa","activity;stuff"
"vzít","tomar","verb"
"potit se","sudar","verb"
"mikina","una sudadera","wears"
"zimní boty,  pohorky","unas botas","wears"
"tady máš, vezmi si","toma","phrase;verb"
"jdu domů","yo llego en casa","phrase"
"plážový ručník","una toalla de playa","home;stuff"
"knihy","unos libros","edu;home"
"léky","medicamentos","health;home"
"nabíječka mobilu","un cargador de móvil","home;stuff"
"občanský průkaz","el carné de identidad","home;stuff"
"peníze","dinero","home;stuff"
"hřeben","un peine","home"
"zubní pasta","pasta de dientes","home"
"zubní kartáček","un cepillo de dientes","home"
"šampón a sprchový gel","champú y gel de baño","home"
"sportovní obuv","unas zapatillas deportivas","wears"
"vždy","siempre","grammar"
"a když cestuji za prací","y cuando viajo por trabajo","phrase;work"
"vždycky si sebou beru peníze","yo siempre llevo dinero","grammar;phrase"
"Co si musím vzít?","¿Qué tengo que llevar?","grammar;phrase"
"Jdu do posilovny. Musím si vzít sportovní oblečení.","Voy al gimnasio. Tengo que llevar ropa de deporte.","grammar;phrase"
"béžová","beis","color"
"svetřík","un jersey","wears"
"náramek","una pulsera","wears"
"šaty","un vestido","wears"
"šála","una bufanda","wears"
"klobouk, čepice","un gorro","wears"
"řemen, pásek","un cinturón","wears"
"jdu na narozeninovou oslavu","voy a una fiesta de cumpleaños","activity"
"preferovat +","preferir - prefiero, prefieres, prefiere, preferimos, preferís  prefieren","verb"
"cena","precio","stuff"
"žabky","unas chanclas","wears"
"co","qué","grammar"
"tisíce","miles de","number"
"panova flétna","zampoña","music;stuff"
"jak pěkné, skvělé","qué bien","grammar;property"
"Jaké je klima na Kubě?","Como es el clima en Cuba?","grammar;places;weather"
"a je to","ya está","phrase"
"Jakou barvu má svetr? Žlutou.","¿De qué color es el jersey? Amarillo.","wears"
"pyžamo","un pijama","wears"
"boty","unos zapatos","wears"
"nějaký oděv","alguna prenda","wears"
"oděv","una ropa","wears"
"ošklivé","fea","property"
"šedá","gris, grises","color"
"zelená","verde, verdes","color"
"znát někoho","conocer","verb"
"nosit","llevar puesto","wears"
"krk, límec","cuello","body;wears"
"náhrdelník,  obojek","un collar","wears"
"prsten","un anillo","wears"
"zásnubní prsten","un anillo de compromiso","wears"
"dosáhnout dohody","llegar a un acuerdo","phrase"
"punčochy","unas medias","wears"
"ponožky","calcetines","wears"
"ponožka","un calcetín","wears"
"taštička","riñonera","wears"
"jít, jet","ir - voy, vas, va, vamos, vais, van","verb"
"služební cesta","viaje de trabajo","work"
"batoh","una mochila","home"
"penál","un estuche","home"
"sešit","una libreta","edu;home"
"olej, ropa","el petróleo","nature"
"banány","los plátanos","food"
"mrkev","las zanahorias","food"
"hlávkový salát","las lechugas","food"
"krev","la sangre","health"
"prasata","los cerdos","nature"
"oranžový","naranja, naranjas","color"
"hnědý","marrón, marrones","color"
"modrá","azul, azules","color"
"šeříková","lila, lilas","color"
"růžová","rosa, rosas","color"
"černá","negro, negra, negros, negras","color"
"žlutá","amarillo, amarilla, amarillos, amarillas","color"
"bílá","blanco, blanca, blancos, blancas","color"
"červená","rojo, roja, rojos, rojas","color"
"tisíc","mil","number"
"kalhoty","unos pantalones","wears"
"podzim","otoño","time"
"zima","invierno","time"
"jaro","primavera","time"
"léto","verano","time"
"větrno","viento","weather"
"teplo","calor","property;weather"
"slunečno","sol","weather"
"studený","frío","property;weather"
"sněžit","nevar","verb;weather"
"pršet","llover","verb;weather"
"mám žízeň","tengo sed","food"
"cukr","azúcar","food"
"přijít +","venir - vengo, vienes, viene, venimos, venís, vienen","verb"
"mám hlad","tengo hambre","food"
"chybějící tvary","las formas que faltan","phrase"
"protože pracuji se Španěly","porque trabajo con españoles","grammar"
"modrá a hnědá","azul y marrón","color"
"sto dva","ciento dos","number"
"sto jedna","ciento uno","number"
"sto deset","ciento diez","number"
"dvě stě","doscientos","number"
"dvě stě padesát","doscientos cincuenta","number"
"tři sta","trescientos","number"
"čtyři sta","cuatrocientos","number"
"pět set","quinientos","number"
"šest set","seiscientos","number"
"sedm set","setecientos","number"
"osm set","ochocientos","number"
"devět set","novecientos","number"
"dva tisíce","dos mil","number"
"deset tisíc","diez mil","number"
"sto tisíc","cien mil","number"
"million","un millon","number"
"dvacet jedna","veintiuno","number"
"dvacet dva","veintidós","number"
"dvacet tři","veintitrés","number"
"pětadvacet","veinticinco","number"
"dvacet osm","veintiocho","number"
"dvacet devět","veintinueve","number"
"dvacet šest","veintiséis","number"
"dvacet sedm","veintisiete","number"
"dvacet čtyři","veinticuatro","number"
"jedenatřicet","treinta y uno","number"
"dvaatřicet","treinta y dos","number"
"čtyřicet dva","cuarenta y dos","number"
"dvaapadesát","cincuenta y dos","number"
"osmdesát jedna","ochenta y uno","number"
"osmdesát dva","ochenta y dos","number"
"devadesát dva","noventa y dos","number"
"devadesát jedna","noventa y uno","number"
"sedmdesát jedna","setenta y uno","number"
"šedesát dva","sesenta y dos","number"
"šedesát jedna","sesenta y uno","number"
"padesát jedna","cincuenta y uno","number"
"čtyřicet jedna","cuarenta y uno","number"
"sto dvacet tři milionů čtyři sta padesát šest tisíc sedm set osmdesát devět","ciento veintitrés millones, cuatrocientos cincuenta y seis mil, setecientos ochenta y nueve","number"
